"","Time.Reach","Portion.Taxon","Sum_Count","Sum_CellCount","Sum_Het"
"195","Pre_Reference","Diatoms Navicula reichardtiana",1139.57186544343,1139.57186544343,NA
"196","Pre_Reference","Diatoms Navicula tripunctata",1747.23641261648,1747.23641261648,NA
"197","Pre_Reference","Diatoms Planothidium lanceolatum",51009.7954272521,51009.7954272521,NA
"198","Pre_Reference","Diatoms Psammothidium daonense",9462.61709319169,9462.61709319169,NA
"199","Pre_Reference","Diatoms Rossithidium nodosum",29527.4231450185,29527.4231450185,NA
"200","Pre_Reference","Diatoms Rossithidium petersenii",1857.01754385965,1857.01754385965,NA
"201","Pre_Reference","Diatoms Sellaphora nigri",1882.37888298728,1882.37888298728,NA
"202","Pre_Reference","Diatoms Staurosira",2279.14373088685,2279.14373088685,NA
"203","Pre_Reference","Diatoms Ulnaria",607.664547173055,607.664547173055,NA
"204","Pre_Reference","Diatoms Ulnaria contracta",742.807017543859,742.807017543859,NA
"205","Pre_Treatment","Algae Calothrix",1262.60412099956,10100.8329679965,0
"206","Pre_Treatment","Algae Chamaesiphon",882.943143812707,4414.71571906354,0
"207","Pre_Treatment","Algae Homoeothrix",44821.1325490933,863783.231845449,0
"208","Pre_Treatment","Algae Leptolyngbya",2729.09698996656,54581.9397993313,0
"209","Pre_Treatment","Algae Phormidium",909.698996655521,13645.4849498328,0
"210","Pre_Treatment","Algae Sheathia",9396.38338521362,56597.4261714117,0
"211","Pre_Treatment","Algae Synechococcus",161613.327487944,16161332.7487944,0
"212","Pre_Treatment","Algae Undetermined Rhodophyte",172676.831583871,1579568.94456019,0
"213","Pre_Treatment","Diatoms Achnanthidium minutissimum",3439.13562525385,3439.13562525385,NA
"214","Pre_Treatment","Diatoms Adlafia langebertalotii",664.08026755853,664.08026755853,NA
"215","Pre_Treatment","Diatoms Cocconeis pediculus",1328.16053511706,1328.16053511706,NA
"216","Pre_Treatment","Diatoms Cocconeis placentula sensu lato",12559.4369735663,12559.4369735663,NA
"217","Pre_Treatment","Diatoms Diatoma mesodon",2383.64808018545,2383.64808018545,NA
"218","Pre_Treatment","Diatoms Eunotia",10862.7528558589,10862.7528558589,NA
"219","Pre_Treatment","Diatoms Eunotia incisa",996.120401337795,996.120401337795,NA
"220","Pre_Treatment","Diatoms Eunotia minor",2051.60794640619,2051.60794640619,NA
"221","Pre_Treatment","Diatoms Eunotia perpusilla",5218.07058161137,5218.07058161137,NA
"222","Pre_Treatment","Diatoms Fragilaria",391.407277509864,391.407277509864,NA
"223","Pre_Treatment","Diatoms Frustulia krammeri",332.040133779265,332.040133779265,NA
"224","Pre_Treatment","Diatoms Gomphonema",1992.24080267559,1992.24080267559,NA
"225","Pre_Treatment","Diatoms Gomphonema exilissimum",391.407277509864,391.407277509864,NA
"226","Pre_Treatment","Diatoms Gomphonema pumilum v. rigidum",225138.548322805,225138.548322805,NA
"227","Pre_Treatment","Diatoms Gomphosphenia americana",2988.36120401339,2988.36120401339,NA
"228","Pre_Treatment","Diatoms Karayevia suchlandtii",102015.632381999,102015.632381999,NA
"229","Pre_Treatment","Diatoms Meridion circulare",12606.4833970901,12606.4833970901,NA
"230","Pre_Treatment","Diatoms Navicula cryptotenella",391.407277509864,391.407277509864,NA
"231","Pre_Treatment","Diatoms Navicula cryptotenelloides",332.040133779265,332.040133779265,NA
"232","Pre_Treatment","Diatoms Navicula reichardtiana",332.040133779265,332.040133779265,NA
"233","Pre_Treatment","Diatoms Planothidium frequentissimum",996.120401337795,996.120401337795,NA
"234","Pre_Treatment","Diatoms Planothidium haynaldii",4707.92901664031,4707.92901664031,NA
"235","Pre_Treatment","Diatoms Planothidium lanceolatum",170316.177994397,170316.177994397,NA
"236","Pre_Treatment","Diatoms Psammothidium daonense",2618.74825342835,2618.74825342835,NA
"237","Pre_Treatment","Diatoms Rossithidium nodosum",332.040133779265,332.040133779265,NA
"238","Pre_Treatment","Diatoms Rossithidium petersenii",6308.76254180604,6308.76254180604,NA
"239","Pre_Treatment","Diatoms Sellaphora atomoides",664.08026755853,664.08026755853,NA
"240","Pre_Treatment","Diatoms Stauroneis kriegeri",332.040133779265,332.040133779265,NA
